FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
08/10/2019,B,null,1704277899,1671973884
08/10/2019,C,null,22309799842,21926945577
08/10/2019,S,STOCKS,1253511368,946324071
09/10/2019,B,BANK BONDS,8042354006,7093342394
09/10/2019,B,CORPORATE BONDS,1954944863,1636370391
09/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22155458151,19508798293
09/10/2019,B,STATE AGENCIES,1694163999,1557802462
09/10/2019,B,STATE/MUNICIPAL BONDS,2091825720,1995238216
09/10/2019,B,null,1747939217,1712652967
09/10/2019,C,null,22815209517,22431112864
09/10/2019,S,STOCKS,1264306892,954588870
10/10/2019,B,BANK BONDS,7965020535,7030248799
10/10/2019,B,CORPORATE BONDS,1936589458,1615868045
10/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22152056059,19510927161
10/10/2019,B,STATE AGENCIES,1701944351,1565265578
10/10/2019,B,STATE/MUNICIPAL BONDS,2049139750,1954332964
10/10/2019,B,null,1744013682,1710017160
10/10/2019,C,null,23180457307,22782321605
10/10/2019,S,STOCKS,1277685550,964850480
11/10/2019,B,BANK BONDS,8002703197,7060771217
11/10/2019,B,CORPORATE BONDS,1963920743,1643143901
11/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22192064157,19556655612
11/10/2019,B,STATE AGENCIES,1645044165,1511194533
11/10/2019,B,STATE/MUNICIPAL BONDS,2149148131,2052179331
11/10/2019,B,null,1881995415,1824623683
11/10/2019,C,null,23908199554,23531642382
11/10/2019,S,STOCKS,1290301623,974562708
14/10/2019,B,BANK BONDS,7811928464,6936332161
14/10/2019,B,CORPORATE BONDS,1898917073,1576323487
14/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22284418963,19626714023
14/10/2019,B,STATE AGENCIES,1703272309,1567940632
14/10/2019,B,STATE/MUNICIPAL BONDS,2148539773,2051516371
14/10/2019,B,null,1849407519,1812544459
14/10/2019,C,null,23142935536,22756503854
14/10/2019,S,STOCKS,1293568946,977100653
15/10/2019,B,BANK BONDS,7838787623,6920344530
15/10/2019,B,CORPORATE BONDS,1873972815,1563516249
15/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22140533695,19448018810
15/10/2019,B,STATE AGENCIES,1803946009,1664866364
15/10/2019,B,STATE/MUNICIPAL BONDS,1992172347,1899885765
15/10/2019,B,null,2046800190,2027160209
15/10/2019,C,null,23520276199,23113389382
15/10/2019,S,STOCKS,1313467779,992298089
16/10/2019,B,BANK BONDS,7928561215,7018345609
16/10/2019,B,CORPORATE BONDS,1900616393,1588310048
16/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22423333788,19672715671
16/10/2019,B,STATE AGENCIES,1737082990,1602357972
16/10/2019,B,STATE/MUNICIPAL BONDS,2133944095,2035644255
16/10/2019,B,null,2135637845,2115416569
16/10/2019,C,null,22920743820,22548655016
16/10/2019,S,STOCKS,1368195843,1034572260
17/10/2019,B,BANK BONDS,7513954524,6616880795
17/10/2019,B,CORPORATE BONDS,1875195547,1563559556
17/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22533578956,19798749718
17/10/2019,B,STATE AGENCIES,1727092263,1590726082
17/10/2019,B,STATE/MUNICIPAL BONDS,2329315476,2224930221
17/10/2019,B,null,2288079441,2250979031
17/10/2019,C,null,23621032907,23246324901
17/10/2019,S,STOCKS,1371702072,1037232543
18/10/2019,B,BANK BONDS,7594194667,6708356239
18/10/2019,B,CORPORATE BONDS,1956514872,1627117712
18/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22458844308,19704460608
18/10/2019,B,STATE AGENCIES,1633369392,1503565635
18/10/2019,B,STATE/MUNICIPAL BONDS,2061442179,1965391122
18/10/2019,B,null,2370961754,2321650957
18/10/2019,C,null,23972201934,23588898746
18/10/2019,S,STOCKS,1399708663,1058798066
21/10/2019,B,BANK BONDS,7473889295,6586749248
21/10/2019,B,CORPORATE BONDS,1937065225,1603929181
21/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22293042344,19569272959
21/10/2019,B,STATE AGENCIES,1665868841,1535027672
21/10/2019,B,STATE/MUNICIPAL BONDS,2099656411,2001567299
21/10/2019,B,null,2344865098,2294821633
21/10/2019,C,null,24281336127,23903226750
21/10/2019,S,STOCKS,1368251770,1034658037
22/10/2019,B,BANK BONDS,7435648508,6548665229
22/10/2019,B,CORPORATE BONDS,1958479722,1621053855
22/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22478774987,19713838716
22/10/2019,B,STATE AGENCIES,1710172004,1550664550
22/10/2019,B,STATE/MUNICIPAL BONDS,2064930942,1968855283
22/10/2019,B,null,2485998888,2432832301
22/10/2019,C,null,23824607797,23456133161
22/10/2019,S,STOCKS,1209781039,912766395
23/10/2019,B,BANK BONDS,7511507280,6622740854
23/10/2019,B,CORPORATE BONDS,1954087720,1615637859
23/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22992530930,20150640108
23/10/2019,B,STATE AGENCIES,1687438548,1554027448
